iter	Passed	Remaining
455	848	1012
456	850	1010
457	852	1008
458	853	1006
459	854	1003
460	855	1000
461	857	998
462	858	995
463	859	992
464	860	990
465	861	987
466	862	984
467	863	981
468	865	979
469	866	977
470	867	974
471	868	971
472	869	969
473	870	966
474	871	963
475	872	960
476	873	958
477	874	955
478	875	952
479	876	949
480	878	947
481	880	945
482	881	943
483	882	940
484	883	937
485	884	934
486	885	932
487	886	929
488	887	927
489	888	924
490	889	921
491	890	919
492	891	916
493	892	914
494	893	911
495	895	909
496	896	907
497	897	904
498	899	902
499	900	900
500	902	898
501	903	896
502	905	894
503	906	892
504	907	889
505	909	887
506	910	885
507	911	882
508	912	880
509	913	877
510	914	874
511	915	872
512	916	870
513	918	868
514	919	865
515	919	862
516	920	860
517	921	857
518	922	855
519	923	852
520	924	850
521	925	847
522	926	845
523	927	842
524	929	840
525	931	839
526	933	837
527	934	835
528	935	833
529	937	831
530	938	828
531	939	826
532	940	823
533	941	821
534	942	819
535	943	816
536	945	815
537	947	813
538	949	811
539	951	810
540	952	808
541	954	806
542	955	804
543	957	802
544	959	801
545	961	799
546	962	797
547	963	795
548	964	792
549	965	790
550	966	787
551	967	785
552	969	783
553	970	781
554	971	779
555	972	776
556	973	774
557	974	772
558	975	769
559	976	767
560	977	765
561	979	763
562	980	760
563	981	758
564	982	756
565	983	753
566	984	751
567	985	749
568	986	747
569	988	745
570	989	743
571	990	741
572	992	739
573	994	738
574	996	736
575	998	734
576	999	733
577	1001	731
578	1003	729
579	1004	727
580	1005	725
581	1007	723
582	1008	721
583	1010	720
584	1012	718
585	1013	716
586	1015	714
587	1016	712
588	1017	710
589	1019	708
590	1021	706
591	1024	705
592	1026	704
593	1028	702
594	1030	701
595	1032	699
596	1035	698
597	1038	698
598	1041	697
599	1043	695
600	1045	694
601	1047	692
602	1050	691
603	1052	690
604	1054	688
605	1055	686
606	1057	684
607	1058	682
608	1060	680
609	1062	679
610	1064	677
611	1065	675
612	1066	673
613	1067	670
614	1068	668
615	1069	666
616	1070	664
617	1071	662
618	1072	659
619	1073	657
620	1074	655
621	1075	653
622	1076	651
623	1078	649
624	1079	647
625	1080	645
626	1082	643
627	1083	641
628	1085	640
629	1086	638
630	1087	636
631	1089	634
632	1090	632
633	1091	630
634	1092	628
635	1093	626
636	1094	623
637	1095	621
638	1096	619
639	1097	617
640	1098	615
641	1099	613
642	1100	611
643	1101	609
644	1103	607
645	1104	605
646	1105	603
647	1106	601
648	1107	599
649	1108	596
650	1109	594
651	1110	592
652	1111	590
653	1112	588
654	1113	586
655	1115	584
656	1116	582
657	1117	580
658	1118	578
659	1119	576
660	1120	574
661	1121	572
662	1124	571
663	1125	569
664	1126	567
665	1127	565
666	1128	563
667	1130	561
668	1131	559
669	1133	558
670	1134	556
671	1135	554
672	1137	552
673	1138	550
674	1139	548
675	1140	546
676	1141	544
677	1142	542
678	1143	540
679	1144	538
680	1145	536
681	1147	535
682	1149	533
683	1150	531
684	1151	529
685	1152	527
686	1153	525
687	1154	523
688	1155	521
689	1157	519
690	1158	518
691	1160	516
692	1161	514
693	1162	512
694	1164	510
695	1165	509
696	1166	507
697	1168	505
698	1170	503
699	1171	502
700	1173	500
701	1174	498
702	1175	496
703	1176	494
704	1177	492
705	1178	490
706	1179	488
707	1180	486
708	1182	485
709	1183	483
710	1184	481
711	1185	479
712	1186	477
713	1187	475
714	1188	473
715	1189	471
716	1190	469
717	1191	467
718	1192	465
719	1193	464
720	1194	462
721	1195	460
722	1197	458
723	1198	456
724	1199	455
725	1200	453
726	1201	451
727	1203	449
728	1205	448
729	1207	446
730	1209	445
731	1211	443
732	1212	441
733	1214	439
734	1215	438
735	1216	436
736	1218	434
737	1219	433
738	1221	431
739	1222	429
740	1224	427
741	1225	426
742	1227	424
743	1232	424
744	1233	422
745	1235	420
746	1236	418
747	1238	417
748	1239	415
749	1240	413
750	1242	411
751	1243	410
752	1244	408
753	1245	406
754	1246	404
755	1247	402
756	1249	401
757	1251	399
758	1253	397
759	1255	396
760	1257	395
761	1261	393
762	1266	393
763	1268	391
764	1270	390
765	1271	388
766	1272	386
767	1274	384
768	1275	383
769	1277	381
770	1278	379
771	1279	377
772	1280	376
773	1281	374
774	1282	372
775	1283	370
776	1284	368
777	1285	366
778	1286	364
779	1287	363
780	1289	361
781	1290	359
782	1292	358
783	1293	356
784	1294	354
785	1295	352
786	1296	350
787	1297	349
788	1298	347
789	1299	345
790	1303	344
791	1304	342
792	1305	340
793	1306	339
794	1307	337
795	1308	335
796	1309	333
797	1310	331
798	1311	330
799	1313	328
800	1314	326
801	1316	324
802	1317	323
803	1318	321
804	1319	319
805	1320	317
806	1322	316
807	1323	314
808	1324	312
809	1326	311
810	1329	309
811	1331	308
812	1333	306
813	1335	305
814	1337	303
815	1339	302
816	1341	300
817	1346	299
818	1348	297
819	1349	296
820	1351	294
821	1353	293
822	1355	291
823	1356	289
824	1358	288
825	1360	286
826	1361	284
827	1363	283
828	1367	282
829	1370	280
830	1372	279
831	1374	277
832	1375	275
833	1376	273
834	1380	272
835	1381	271
836	1382	269
837	1384	267
838	1386	266
839	1390	264
840	1392	263
841	1394	261
842	1396	260
843	1398	258
844	1400	256
845	1402	255
846	1403	253
847	1405	251
848	1406	250
849	1408	248
850	1410	246
851	1411	245
852	1413	243
853	1414	241
854	1415	240
855	1417	238
856	1418	236
857	1419	235
858	1422	233
859	1424	231
860	1426	230
861	1428	228
862	1430	227
863	1431	225
864	1434	223
865	1437	222
866	1439	220
867	1441	219
868	1442	217
869	1444	215
870	1447	214
871	1449	212
872	1451	211
873	1453	209
874	1454	207
875	1456	206
876	1457	204
877	1458	202
878	1459	200
879	1461	199
880	1462	197
881	1464	195
882	1466	194
883	1467	192
884	1468	190
885	1471	189
886	1473	187
887	1474	186
888	1476	184
889	1479	182
890	1481	181
891	1483	179
892	1484	177
893	1486	176
894	1489	174
895	1491	173
896	1493	171
897	1495	169
898	1496	168
899	1497	166
900	1498	164
901	1500	163
902	1502	161
903	1503	159
904	1504	157
905	1505	156
906	1506	154
907	1507	152
908	1509	151
909	1510	149
910	1511	147
911	1511	145
912	1512	144
913	1514	142
914	1515	140
915	1517	139
916	1518	137
917	1519	135
918	1522	134
919	1524	132
920	1526	130
921	1528	129
922	1531	127
923	1533	126
924	1535	124
925	1538	122
926	1540	121
927	1545	119
928	1547	118
929	1549	116
930	1551	115
931	1558	113
932	1561	112
933	1563	110
934	1565	108
935	1569	107
936	1573	105
937	1576	104
938	1578	102
939	1582	101
940	1585	99
941	1586	97
942	1588	96
943	1590	94
944	1592	92
945	1594	90
946	1595	89
947	1596	87
948	1597	85
949	1599	84
950	1600	82
951	1602	80
952	1603	79
953	1604	77
954	1606	75
955	1607	74
956	1609	72
957	1610	70
958	1611	68
959	1613	67
960	1615	65
961	1617	63
962	1618	62
963	1621	60
964	1623	58
965	1624	57
966	1625	55
967	1627	53
968	1628	52
969	1629	50
970	1630	48
971	1631	46
972	1632	45
973	1633	43
974	1635	41
975	1637	40
976	1638	38
977	1640	36
978	1641	35
979	1642	33
980	1644	31
981	1649	30
982	1652	28
983	1655	26
984	1656	25
985	1658	23
986	1659	21
987	1660	20
988	1662	18
989	1664	16
990	1665	15
991	1667	13
992	1668	11
993	1671	10
994	1674	8
995	1677	6
996	1679	5
997	1682	3
998	1685	1
999	1690	0
