iter	Passed	Remaining
465	736	844
466	737	842
467	738	839
468	739	837
469	740	835
470	741	832
471	742	830
472	743	828
473	744	826
474	746	824
475	747	822
476	748	820
477	749	818
478	750	815
479	751	813
480	752	811
481	752	809
482	753	807
483	754	804
484	755	802
485	756	800
486	757	798
487	758	796
488	760	794
489	761	792
490	762	790
491	763	788
492	764	785
493	765	783
494	766	781
495	767	779
496	767	777
497	768	775
498	769	772
499	770	770
500	772	769
501	773	767
502	776	767
503	779	766
504	781	765
505	782	764
506	784	762
507	785	761
508	787	759
509	790	759
510	793	758
511	794	757
512	796	756
513	798	754
514	799	752
515	800	750
516	802	749
517	803	747
518	804	745
519	805	743
520	806	741
521	807	739
522	808	737
523	809	734
524	810	732
525	810	730
526	811	728
527	812	726
528	813	724
529	814	722
530	816	721
531	817	719
532	818	716
533	819	714
534	820	712
535	821	710
536	822	708
537	823	706
538	824	704
539	825	702
540	825	700
541	826	698
542	827	696
543	829	695
544	830	693
545	831	691
546	832	689
547	833	687
548	834	685
549	835	683
550	836	681
551	837	679
552	838	677
553	839	675
554	840	673
555	841	671
556	843	670
557	844	668
558	845	666
559	846	664
560	847	662
561	848	660
562	848	658
563	849	657
564	850	655
565	851	653
566	852	651
567	853	649
568	854	647
569	856	646
570	857	644
571	858	642
572	859	640
573	860	638
574	861	636
575	862	634
576	863	633
577	864	631
578	865	629
579	866	627
580	867	625
581	868	623
582	870	622
583	871	620
584	873	619
585	873	617
586	874	615
587	876	613
588	877	611
589	878	610
590	878	608
591	879	606
592	880	604
593	881	602
594	883	601
595	884	599
596	885	597
597	886	596
598	887	594
599	888	592
600	889	590
601	890	588
602	891	586
603	892	585
604	893	583
605	894	581
606	895	579
607	897	578
608	899	577
609	901	576
610	902	574
611	903	572
612	905	571
613	906	569
614	907	568
615	908	566
616	911	565
617	912	564
618	913	562
619	915	560
620	916	559
621	917	557
622	918	555
623	919	553
624	920	552
625	921	550
626	921	548
627	922	546
628	924	545
629	925	543
630	927	542
631	928	540
632	929	538
633	930	537
634	931	535
635	932	533
636	933	531
637	934	530
638	935	528
639	936	526
640	937	525
641	938	523
642	939	521
643	940	519
644	941	518
645	942	516
646	943	514
647	944	513
648	945	511
649	946	509
650	947	507
651	948	506
652	949	504
653	951	503
654	952	501
655	953	500
656	955	498
657	955	496
658	956	495
659	957	493
660	958	491
661	959	490
662	960	488
663	961	486
664	962	484
665	964	483
666	965	482
667	966	480
668	967	478
669	968	477
670	969	475
671	970	473
672	971	472
673	972	470
674	976	470
675	980	469
676	983	469
677	986	468
678	990	468
679	993	467
680	996	466
681	998	465
682	999	464
683	1001	462
684	1003	461
685	1004	459
686	1007	459
687	1009	457
688	1010	456
689	1011	454
690	1012	452
691	1013	451
692	1015	449
693	1016	448
694	1017	446
695	1018	444
696	1020	443
697	1021	442
698	1023	440
699	1024	439
700	1025	437
701	1027	436
702	1028	434
703	1029	433
704	1031	431
705	1031	429
706	1034	428
707	1036	427
708	1038	426
709	1039	424
710	1040	422
711	1041	421
712	1043	419
713	1044	418
714	1045	416
715	1047	415
716	1049	414
717	1050	412
718	1051	410
719	1052	409
720	1054	407
721	1055	406
722	1056	404
723	1057	403
724	1058	401
725	1061	400
726	1062	398
727	1063	397
728	1064	395
729	1065	394
730	1066	392
731	1067	390
732	1068	389
733	1069	387
734	1070	385
735	1071	384
736	1072	382
737	1072	380
738	1074	379
739	1075	377
740	1076	376
741	1077	374
742	1078	373
743	1079	371
744	1080	369
745	1081	368
746	1082	366
747	1083	365
748	1084	363
749	1085	361
750	1086	360
751	1087	358
752	1089	357
753	1090	355
754	1090	354
755	1092	352
756	1093	350
757	1094	349
758	1095	347
759	1096	346
760	1097	344
761	1098	342
762	1099	341
763	1100	339
764	1102	338
765	1104	337
766	1105	335
767	1106	334
768	1107	332
769	1108	331
770	1109	329
771	1110	327
772	1111	326
773	1112	324
774	1113	323
775	1118	322
776	1120	321
777	1121	320
778	1123	318
779	1124	317
780	1125	315
781	1126	314
782	1128	312
783	1129	311
784	1130	309
785	1131	308
786	1132	306
787	1133	305
788	1134	303
789	1135	301
790	1136	300
791	1137	298
792	1138	297
793	1139	295
794	1140	294
795	1142	292
796	1143	291
797	1144	289
798	1145	288
799	1146	286
800	1147	285
801	1148	283
802	1149	282
803	1150	280
804	1151	278
805	1152	277
806	1153	275
807	1154	274
808	1156	273
809	1157	271
810	1158	270
811	1159	268
812	1160	266
813	1161	265
814	1162	263
815	1163	262
816	1164	260
817	1165	259
818	1166	257
819	1167	256
820	1168	254
821	1169	253
822	1170	251
823	1171	250
824	1172	248
825	1173	247
826	1174	245
827	1175	244
828	1176	242
829	1177	241
830	1178	239
831	1179	238
832	1180	236
833	1181	235
834	1182	233
835	1183	232
836	1184	230
837	1185	229
838	1186	227
839	1187	226
840	1188	224
841	1189	223
842	1190	221
843	1191	220
844	1192	218
845	1193	217
846	1194	215
847	1195	214
848	1197	212
849	1198	211
850	1199	210
851	1200	208
852	1201	207
853	1202	205
854	1203	204
855	1204	202
856	1205	201
857	1206	199
858	1207	198
859	1208	196
860	1209	195
861	1211	193
862	1212	192
863	1214	191
864	1215	189
865	1215	188
866	1216	186
867	1217	185
868	1219	183
869	1220	182
870	1221	180
871	1222	179
872	1224	178
873	1225	176
874	1226	175
875	1227	173
876	1228	172
877	1229	170
878	1230	169
879	1231	167
880	1232	166
881	1233	165
882	1234	163
883	1235	162
884	1237	160
885	1238	159
886	1239	157
887	1240	156
888	1241	154
889	1242	153
890	1243	152
891	1244	150
892	1245	149
893	1246	147
894	1247	146
895	1248	144
896	1249	143
897	1250	142
898	1252	140
899	1253	139
900	1254	137
901	1255	136
902	1255	134
903	1256	133
904	1257	132
905	1258	130
906	1259	129
907	1260	127
908	1261	126
909	1262	124
910	1264	123
911	1265	122
912	1266	120
913	1267	119
914	1268	117
915	1269	116
916	1270	114
917	1271	113
918	1272	112
919	1273	110
920	1274	109
921	1275	107
922	1276	106
923	1277	105
924	1280	103
925	1281	102
926	1282	100
927	1283	99
928	1284	98
929	1285	96
930	1286	95
931	1288	93
932	1289	92
933	1290	91
934	1290	89
935	1292	88
936	1293	86
937	1294	85
938	1295	84
939	1296	82
940	1297	81
941	1298	79
942	1299	78
943	1300	77
944	1301	75
945	1303	74
946	1304	73
947	1305	71
948	1306	70
949	1307	68
950	1308	67
951	1309	66
952	1310	64
953	1311	63
954	1312	61
955	1313	60
956	1314	59
957	1315	57
958	1316	56
959	1318	54
960	1319	53
961	1320	52
962	1321	50
963	1322	49
964	1323	48
965	1324	46
966	1325	45
967	1326	43
968	1327	42
969	1328	41
970	1329	39
971	1330	38
972	1331	36
973	1333	35
974	1334	34
975	1335	32
976	1336	31
977	1337	30
978	1338	28
979	1339	27
980	1340	25
981	1341	24
982	1342	23
983	1343	21
984	1343	20
985	1345	19
986	1347	17
987	1348	16
988	1349	15
989	1350	13
990	1350	12
991	1351	10
992	1352	9
993	1353	8
994	1354	6
995	1355	5
996	1356	4
997	1357	2
998	1359	1
999	1360	0
